AREA,AREA NAME,Crm Cd,Crm Cd Desc,DATE OCC,Part 1-2,DR_NO
09,Van Nuys,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,2022,2,1
18,Southeast,805,PIMPING,2021,2,2
07,Wilshire,220,ATTEMPTED ROBBERY,2020,1,42
20,Olympic,237,CHILD NEGLECT (SEE 300 W.I.C.),2022,2,11
05,Harbor,220,ATTEMPTED ROBBERY,2022,1,40
18,Southeast,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2021,2,628
13,Newton,647,THROWING OBJECT AT MOVING VEHICLE,2021,2,11
15,N Hollywood,473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",2021,1,1
04,Hollenbeck,520,VEHICLE - ATTEMPT STOLEN,2022,1,53
13,Newton,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,2022,2,1
17,Devonshire,434,FALSE IMPRISONMENT,2021,2,4
02,Rampart,943,CRUELTY TO ANIMALS,2020,2,1
16,Foothill,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2021,1,216
16,Foothill,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2021,2,2
09,Van Nuys,662,"BUNCO, GRAND THEFT",2022,2,68
20,Olympic,441,THEFT PLAIN - ATTEMPT,2020,1,5
05,Harbor,510,VEHICLE - STOLEN,2022,1,"1,293"
13,Newton,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2022,2,37
03,Southwest,762,LEWD CONDUCT,2020,2,10
04,Hollenbeck,622,BATTERY ON A FIREFIGHTER,2020,2,2
03,Southwest,880,DISRUPT SCHOOL,2020,2,1
01,Central,352,PICKPOCKET,2022,1,232
21,Topanga,443,SHOPLIFTING - ATTEMPT,2022,1,1
06,Hollywood,860,BATTERY WITH SEXUAL CONTACT,2020,2,71
19,Mission,813,CHILD ANNOYING (17YRS & UNDER),2020,2,15
12,77th Street,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2021,2,51
19,Mission,434,FALSE IMPRISONMENT,2021,2,3
03,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020,2,677
18,Southeast,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2022,2,3
08,West LA,753,DISCHARGE FIREARMS/SHOTS FIRED,2022,2,5
05,Harbor,440,THEFT PLAIN - PETTY ($950 & UNDER),2021,1,316
03,Southwest,761,BRANDISH WEAPON,2021,1,267
14,Pacific,805,PIMPING,2022,2,1
06,Hollywood,928,THREATENING PHONE CALLS/LETTERS,2020,2,1
03,Southwest,664,"BUNCO, PETTY THEFT",2020,2,32
03,Southwest,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2022,1,230
02,Rampart,444,DISHONEST EMPLOYEE - PETTY THEFT,2022,1,1
10,West Valley,220,ATTEMPTED ROBBERY,2020,1,30
20,Olympic,651,DOCUMENT WORTHLESS ($200.01 & OVER),2022,2,3
04,Hollenbeck,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2021,2,4
19,Mission,345,DISHONEST EMPLOYEE - GRAND THEFT,2020,1,1
12,77th Street,121,"RAPE, FORCIBLE",2022,1,71
15,N Hollywood,761,BRANDISH WEAPON,2020,1,137
15,N Hollywood,886,DISTURBING THE PEACE,2022,2,29
17,Devonshire,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2022,1,338
09,Van Nuys,652,DOCUMENT WORTHLESS ($200 & UNDER),2020,2,2
13,Newton,350,"THEFT, PERSON",2021,1,36
10,West Valley,474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",2022,1,1
04,Hollenbeck,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2020,1,10
15,N Hollywood,910,KIDNAPPING,2022,2,9
09,Van Nuys,763,STALKING,2022,2,5
07,Wilshire,438,RECKLESS DRIVING,2022,2,1
18,Southeast,440,THEFT PLAIN - PETTY ($950 & UNDER),2020,1,364
05,Harbor,251,SHOTS FIRED AT INHABITED DWELLING,2020,1,32
10,West Valley,662,"BUNCO, GRAND THEFT",2020,2,60
03,Southwest,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2022,2,122
06,Hollywood,251,SHOTS FIRED AT INHABITED DWELLING,2021,1,12
07,Wilshire,471,TILL TAP - PETTY ($950 & UNDER),2021,1,1
13,Newton,320,"BURGLARY, ATTEMPTED",2022,1,34
13,Newton,652,DOCUMENT WORTHLESS ($200 & UNDER),2021,2,2
17,Devonshire,903,CONTEMPT OF COURT,2020,2,13
21,Topanga,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2022,1,277
06,Hollywood,900,VIOLATION OF COURT ORDER,2020,2,39
19,Mission,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",2022,2,4
06,Hollywood,805,PIMPING,2022,2,3
13,Newton,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2021,1,20
04,Hollenbeck,121,"RAPE, FORCIBLE",2020,1,24
19,Mission,350,"THEFT, PERSON",2022,1,25
21,Topanga,623,BATTERY POLICE (SIMPLE),2021,2,12
11,Northeast,813,CHILD ANNOYING (17YRS & UNDER),2021,2,7
15,N Hollywood,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2022,1,207
08,West LA,933,PROWLER,2021,2,4
21,Topanga,441,THEFT PLAIN - ATTEMPT,2021,1,5
13,Newton,350,"THEFT, PERSON",2022,1,55
09,Van Nuys,443,SHOPLIFTING - ATTEMPT,2020,1,1
05,Harbor,450,THEFT FROM PERSON - ATTEMPT,2020,1,2
19,Mission,943,CRUELTY TO ANIMALS,2022,2,1
18,Southeast,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2020,2,51
11,Northeast,440,THEFT PLAIN - PETTY ($950 & UNDER),2021,1,624
10,West Valley,480,BIKE - STOLEN,2020,1,62
18,Southeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,2021,2,765
17,Devonshire,814,CHILD PORNOGRAPHY,2022,2,4
05,Harbor,437,RESISTING ARREST,2021,2,10
21,Topanga,949,ILLEGAL DUMPING,2021,2,2
12,77th Street,888,TRESPASSING,2022,2,70
16,Foothill,625,OTHER ASSAULT,2021,2,26
16,Foothill,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2022,2,151
11,Northeast,901,VIOLATION OF RESTRAINING ORDER,2020,2,115
05,Harbor,762,LEWD CONDUCT,2020,2,2
12,77th Street,813,CHILD ANNOYING (17YRS & UNDER),2020,2,14
13,Newton,932,PEEPING TOM,2020,2,1
07,Wilshire,352,PICKPOCKET,2022,1,103
01,Central,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2020,2,47
20,Olympic,886,DISTURBING THE PEACE,2021,2,17
18,Southeast,352,PICKPOCKET,2022,1,2
06,Hollywood,470,TILL TAP - GRAND THEFT ($950.01 & OVER),2020,1,1
16,Foothill,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2020,1,4
13,Newton,441,THEFT PLAIN - ATTEMPT,2020,1,10
05,Harbor,888,TRESPASSING,2022,2,93
13,Newton,433,DRIVING WITHOUT OWNER CONSENT (DWOC),2022,1,1
11,Northeast,220,ATTEMPTED ROBBERY,2022,1,47
13,Newton,664,"BUNCO, PETTY THEFT",2021,2,9
02,Rampart,251,SHOTS FIRED AT INHABITED DWELLING,2022,1,15
08,West LA,626,INTIMATE PARTNER - SIMPLE ASSAULT,2022,2,261
05,Harbor,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2020,1,13
04,Hollenbeck,820,ORAL COPULATION,2020,1,7
01,Central,664,"BUNCO, PETTY THEFT",2021,2,26
14,Pacific,487,BOAT - STOLEN,2020,1,1
18,Southeast,901,VIOLATION OF RESTRAINING ORDER,2022,2,174
20,Olympic,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2021,1,603
19,Mission,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2021,1,5
09,Van Nuys,762,LEWD CONDUCT,2021,2,4
19,Mission,813,CHILD ANNOYING (17YRS & UNDER),2021,2,13
05,Harbor,813,CHILD ANNOYING (17YRS & UNDER),2020,2,15
14,Pacific,761,BRANDISH WEAPON,2020,1,104
01,Central,320,"BURGLARY, ATTEMPTED",2022,1,49
01,Central,762,LEWD CONDUCT,2020,2,11
18,Southeast,480,BIKE - STOLEN,2022,1,9
21,Topanga,762,LEWD CONDUCT,2020,2,8
16,Foothill,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020,1,409
05,Harbor,434,FALSE IMPRISONMENT,2021,2,3
14,Pacific,762,LEWD CONDUCT,2020,2,11
20,Olympic,649,DOCUMENT FORGERY / STOLEN FELONY,2021,2,30
07,Wilshire,753,DISCHARGE FIREARMS/SHOTS FIRED,2022,2,14
09,Van Nuys,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2022,1,1
08,West LA,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2020,1,37
14,Pacific,763,STALKING,2022,2,8
09,Van Nuys,954,CONTRIBUTING,2020,2,1
13,Newton,330,BURGLARY FROM VEHICLE,2021,1,553
21,Topanga,113,"MANSLAUGHTER, NEGLIGENT",2020,1,1
18,Southeast,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2022,2,25
09,Van Nuys,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2022,1,4
08,West LA,210,ROBBERY,2021,1,159
09,Van Nuys,320,"BURGLARY, ATTEMPTED",2022,1,41
02,Rampart,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2021,1,6
12,77th Street,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,2020,2,8
01,Central,901,VIOLATION OF RESTRAINING ORDER,2020,2,58
11,Northeast,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",2021,1,3
12,77th Street,350,"THEFT, PERSON",2022,1,82
07,Wilshire,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2021,2,6
16,Foothill,666,"BUNCO, ATTEMPT",2020,2,1
03,Southwest,900,VIOLATION OF COURT ORDER,2022,2,100
21,Topanga,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2021,1,2
19,Mission,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2022,2,33
05,Harbor,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2020,1,9
09,Van Nuys,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",2020,2,1
15,N Hollywood,820,ORAL COPULATION,2021,1,5
10,West Valley,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2020,1,9
21,Topanga,330,BURGLARY FROM VEHICLE,2021,1,559
10,West Valley,441,THEFT PLAIN - ATTEMPT,2020,1,3
02,Rampart,661,UNAUTHORIZED COMPUTER ACCESS,2020,2,4
07,Wilshire,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",2020,2,1
21,Topanga,443,SHOPLIFTING - ATTEMPT,2020,1,7
21,Topanga,441,THEFT PLAIN - ATTEMPT,2020,1,4
17,Devonshire,352,PICKPOCKET,2020,1,1
18,Southeast,623,BATTERY POLICE (SIMPLE),2021,2,63
02,Rampart,121,"RAPE, FORCIBLE",2020,1,48
11,Northeast,932,PEEPING TOM,2021,2,1
16,Foothill,760,LEWD/LASCIVIOUS ACTS WITH CHILD,2020,2,2
09,Van Nuys,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2022,1,84
09,Van Nuys,760,LEWD/LASCIVIOUS ACTS WITH CHILD,2021,2,2
21,Topanga,210,ROBBERY,2020,1,191
06,Hollywood,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2020,2,31
08,West LA,352,PICKPOCKET,2022,1,28
15,N Hollywood,814,CHILD PORNOGRAPHY,2020,2,2
18,Southeast,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,2020,1,16
01,Central,354,THEFT OF IDENTITY,2021,2,309
02,Rampart,756,WEAPONS POSSESSION/BOMBING,2020,2,1
14,Pacific,901,VIOLATION OF RESTRAINING ORDER,2021,2,81
16,Foothill,310,BURGLARY,2020,1,442
10,West Valley,753,DISCHARGE FIREARMS/SHOTS FIRED,2021,2,16
17,Devonshire,433,DRIVING WITHOUT OWNER CONSENT (DWOC),2021,1,1
02,Rampart,920,KIDNAPPING - GRAND ATTEMPT,2020,2,2
15,N Hollywood,237,CHILD NEGLECT (SEE 300 W.I.C.),2022,2,9
20,Olympic,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",2021,1,2
20,Olympic,900,VIOLATION OF COURT ORDER,2022,2,95
12,77th Street,756,WEAPONS POSSESSION/BOMBING,2020,2,1
14,Pacific,443,SHOPLIFTING - ATTEMPT,2020,1,1
20,Olympic,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",2020,2,1
01,Central,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2021,1,7
07,Wilshire,440,THEFT PLAIN - PETTY ($950 & UNDER),2022,1,735
16,Foothill,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2021,2,6
17,Devonshire,122,"RAPE, ATTEMPTED",2022,1,3
15,N Hollywood,251,SHOTS FIRED AT INHABITED DWELLING,2022,1,18
03,Southwest,664,"BUNCO, PETTY THEFT",2021,2,27
13,Newton,436,LYNCHING - ATTEMPTED,2022,2,2
18,Southeast,450,THEFT FROM PERSON - ATTEMPT,2020,1,2
08,West LA,901,VIOLATION OF RESTRAINING ORDER,2020,2,82
19,Mission,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2020,1,14
17,Devonshire,661,UNAUTHORIZED COMPUTER ACCESS,2021,2,9
12,77th Street,755,BOMB SCARE,2022,2,1
05,Harbor,623,BATTERY POLICE (SIMPLE),2021,2,23
15,N Hollywood,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2021,1,389
11,Northeast,820,ORAL COPULATION,2021,1,3
10,West Valley,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2021,2,15
17,Devonshire,662,"BUNCO, GRAND THEFT",2021,2,65
20,Olympic,450,THEFT FROM PERSON - ATTEMPT,2022,1,3
02,Rampart,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2021,1,92
07,Wilshire,647,THROWING OBJECT AT MOVING VEHICLE,2022,2,9
03,Southwest,850,INDECENT EXPOSURE,2020,2,6
05,Harbor,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2021,1,98
10,West Valley,350,"THEFT, PERSON",2022,1,19
19,Mission,220,ATTEMPTED ROBBERY,2021,1,36
20,Olympic,122,"RAPE, ATTEMPTED",2021,1,6
10,West Valley,443,SHOPLIFTING - ATTEMPT,2021,1,1
16,Foothill,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",2022,2,1
16,Foothill,901,VIOLATION OF RESTRAINING ORDER,2020,2,123
19,Mission,434,FALSE IMPRISONMENT,2022,2,4
07,Wilshire,755,BOMB SCARE,2022,2,9
08,West LA,220,ATTEMPTED ROBBERY,2021,1,27
03,Southwest,753,DISCHARGE FIREARMS/SHOTS FIRED,2022,2,31
13,Newton,928,THREATENING PHONE CALLS/LETTERS,2021,2,1
01,Central,901,VIOLATION OF RESTRAINING ORDER,2022,2,73
16,Foothill,901,VIOLATION OF RESTRAINING ORDER,2022,2,128
09,Van Nuys,354,THEFT OF IDENTITY,2020,2,592
11,Northeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,2021,2,311
14,Pacific,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2021,1,89
10,West Valley,900,VIOLATION OF COURT ORDER,2020,2,74
12,77th Street,761,BRANDISH WEAPON,2021,1,353
04,Hollenbeck,753,DISCHARGE FIREARMS/SHOTS FIRED,2022,2,33
19,Mission,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",2020,2,1
04,Hollenbeck,820,ORAL COPULATION,2021,1,4
11,Northeast,220,ATTEMPTED ROBBERY,2021,1,44
20,Olympic,928,THREATENING PHONE CALLS/LETTERS,2021,2,31
09,Van Nuys,320,"BURGLARY, ATTEMPTED",2021,1,42
15,N Hollywood,435,LYNCHING,2022,2,1
03,Southwest,762,LEWD CONDUCT,2021,2,17
16,Foothill,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2020,1,138
20,Olympic,890,FAILURE TO YIELD,2021,2,7
02,Rampart,886,DISTURBING THE PEACE,2021,2,10
15,N Hollywood,351,PURSE SNATCHING,2020,1,1
11,Northeast,660,COUNTERFEIT,2021,2,2
11,Northeast,920,KIDNAPPING - GRAND ATTEMPT,2022,2,2
09,Van Nuys,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2022,2,10
04,Hollenbeck,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2022,1,290
03,Southwest,651,DOCUMENT WORTHLESS ($200.01 & OVER),2022,2,2
19,Mission,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020,2,588
20,Olympic,806,PANDERING,2021,2,2
12,77th Street,666,"BUNCO, ATTEMPT",2021,2,13
09,Van Nuys,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2021,2,12
09,Van Nuys,487,BOAT - STOLEN,2020,1,2
15,N Hollywood,762,LEWD CONDUCT,2021,2,7
16,Foothill,122,"RAPE, ATTEMPTED",2021,1,1
03,Southwest,942,BRIBERY,2021,2,1
09,Van Nuys,352,PICKPOCKET,2021,1,2
01,Central,450,THEFT FROM PERSON - ATTEMPT,2022,1,7
04,Hollenbeck,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2022,2,4
16,Foothill,850,INDECENT EXPOSURE,2020,2,15
15,N Hollywood,471,TILL TAP - PETTY ($950 & UNDER),2021,1,1
07,Wilshire,520,VEHICLE - ATTEMPT STOLEN,2020,1,12
14,Pacific,210,ROBBERY,2021,1,269
20,Olympic,664,"BUNCO, PETTY THEFT",2022,2,30
08,West LA,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2021,1,9
08,West LA,450,THEFT FROM PERSON - ATTEMPT,2022,1,3
08,West LA,440,THEFT PLAIN - PETTY ($950 & UNDER),2020,1,632
10,West Valley,928,THREATENING PHONE CALLS/LETTERS,2021,2,5
06,Hollywood,251,SHOTS FIRED AT INHABITED DWELLING,2020,1,3
21,Topanga,946,OTHER MISCELLANEOUS CRIME,2021,2,56
09,Van Nuys,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2022,2,2
20,Olympic,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2020,2,181
06,Hollywood,625,OTHER ASSAULT,2020,2,71
05,Harbor,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2022,1,25
02,Rampart,820,ORAL COPULATION,2020,1,2
15,N Hollywood,946,OTHER MISCELLANEOUS CRIME,2020,2,106
08,West LA,900,VIOLATION OF COURT ORDER,2021,2,22
19,Mission,928,THREATENING PHONE CALLS/LETTERS,2020,2,3
14,Pacific,624,BATTERY - SIMPLE ASSAULT,2021,2,733
01,Central,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2020,1,12
05,Harbor,122,"RAPE, ATTEMPTED",2020,1,3
21,Topanga,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2022,2,89
21,Topanga,648,ARSON,2020,1,10
15,N Hollywood,437,RESISTING ARREST,2020,2,7
12,77th Street,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2021,1,206
02,Rampart,121,"RAPE, FORCIBLE",2022,1,65
17,Devonshire,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2021,1,1
17,Devonshire,443,SHOPLIFTING - ATTEMPT,2021,1,2
15,N Hollywood,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2022,2,744
08,West LA,954,CONTRIBUTING,2020,2,1
07,Wilshire,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2022,1,177
01,Central,350,"THEFT, PERSON",2021,1,138
20,Olympic,350,"THEFT, PERSON",2020,1,72
06,Hollywood,440,THEFT PLAIN - PETTY ($950 & UNDER),2022,1,858
01,Central,354,THEFT OF IDENTITY,2020,2,235
20,Olympic,320,"BURGLARY, ATTEMPTED",2022,1,55
11,Northeast,480,BIKE - STOLEN,2021,1,84
17,Devonshire,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2021,1,12
11,Northeast,352,PICKPOCKET,2020,1,1
04,Hollenbeck,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2020,2,9
16,Foothill,626,INTIMATE PARTNER - SIMPLE ASSAULT,2022,2,411
16,Foothill,441,THEFT PLAIN - ATTEMPT,2022,1,4
03,Southwest,434,FALSE IMPRISONMENT,2022,2,7
06,Hollywood,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2021,2,9
09,Van Nuys,900,VIOLATION OF COURT ORDER,2021,2,82
18,Southeast,354,THEFT OF IDENTITY,2021,2,378
15,N Hollywood,932,PEEPING TOM,2020,2,7
17,Devonshire,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2022,2,17
17,Devonshire,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2021,1,3
15,N Hollywood,901,VIOLATION OF RESTRAINING ORDER,2022,2,20
21,Topanga,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2021,1,147
19,Mission,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020,2,254
15,N Hollywood,440,THEFT PLAIN - PETTY ($950 & UNDER),2020,1,563
05,Harbor,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,2021,2,5
19,Mission,320,"BURGLARY, ATTEMPTED",2021,1,23
16,Foothill,210,ROBBERY,2020,1,167
18,Southeast,647,THROWING OBJECT AT MOVING VEHICLE,2020,2,14
03,Southwest,647,THROWING OBJECT AT MOVING VEHICLE,2021,2,7
05,Harbor,110,CRIMINAL HOMICIDE,2021,1,26
19,Mission,443,SHOPLIFTING - ATTEMPT,2020,1,3
02,Rampart,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,2020,1,3
04,Hollenbeck,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2021,1,7
07,Wilshire,920,KIDNAPPING - GRAND ATTEMPT,2020,2,1
06,Hollywood,756,WEAPONS POSSESSION/BOMBING,2022,2,1
01,Central,434,FALSE IMPRISONMENT,2021,2,9
07,Wilshire,886,DISTURBING THE PEACE,2022,2,53
04,Hollenbeck,920,KIDNAPPING - GRAND ATTEMPT,2020,2,3
12,77th Street,928,THREATENING PHONE CALLS/LETTERS,2022,2,6
14,Pacific,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",2022,2,2
04,Hollenbeck,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,2021,2,1
13,Newton,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2022,1,341
21,Topanga,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2021,1,444
07,Wilshire,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2020,2,8
08,West LA,662,"BUNCO, GRAND THEFT",2022,2,115
15,N Hollywood,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020,2,515
04,Hollenbeck,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2020,2,51
10,West Valley,446,PETTY THEFT - AUTO REPAIR,2020,2,2
16,Foothill,932,PEEPING TOM,2020,2,3
03,Southwest,888,TRESPASSING,2021,2,97
07,Wilshire,210,ROBBERY,2022,1,385
20,Olympic,666,"BUNCO, ATTEMPT",2021,2,1
06,Hollywood,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2021,1,540
14,Pacific,626,INTIMATE PARTNER - SIMPLE ASSAULT,2022,2,365
11,Northeast,624,BATTERY - SIMPLE ASSAULT,2022,2,691
06,Hollywood,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,2022,1,2
04,Hollenbeck,349,GRAND THEFT / AUTO REPAIR,2022,2,1
06,Hollywood,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2022,2,40
20,Olympic,351,PURSE SNATCHING,2021,1,1
06,Hollywood,434,FALSE IMPRISONMENT,2022,2,7
10,West Valley,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2021,1,289
07,Wilshire,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2021,2,246
15,N Hollywood,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,2021,2,2
19,Mission,922,CHILD STEALING,2022,2,2
19,Mission,662,"BUNCO, GRAND THEFT",2022,2,60
06,Hollywood,860,BATTERY WITH SEXUAL CONTACT,2021,2,75
09,Van Nuys,487,BOAT - STOLEN,2021,1,1
13,Newton,444,DISHONEST EMPLOYEE - PETTY THEFT,2020,1,1
18,Southeast,943,CRUELTY TO ANIMALS,2020,2,2
17,Devonshire,662,"BUNCO, GRAND THEFT",2020,2,72
03,Southwest,122,"RAPE, ATTEMPTED",2022,1,3
12,77th Street,761,BRANDISH WEAPON,2020,1,318
07,Wilshire,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2020,2,34
12,77th Street,910,KIDNAPPING,2021,2,24
07,Wilshire,626,INTIMATE PARTNER - SIMPLE ASSAULT,2022,2,374
20,Olympic,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2022,1,125
06,Hollywood,928,THREATENING PHONE CALLS/LETTERS,2021,2,6
10,West Valley,434,FALSE IMPRISONMENT,2022,2,1
05,Harbor,666,"BUNCO, ATTEMPT",2022,2,5
11,Northeast,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2022,1,5
04,Hollenbeck,946,OTHER MISCELLANEOUS CRIME,2022,2,40
10,West Valley,220,ATTEMPTED ROBBERY,2021,1,42
16,Foothill,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2021,1,360
21,Topanga,664,"BUNCO, PETTY THEFT",2022,2,26
20,Olympic,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2020,1,287
17,Devonshire,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2022,2,4
14,Pacific,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2020,1,10
04,Hollenbeck,352,PICKPOCKET,2022,1,11
09,Van Nuys,441,THEFT PLAIN - ATTEMPT,2022,1,5
01,Central,940,EXTORTION,2021,2,8
19,Mission,762,LEWD CONDUCT,2022,2,5
14,Pacific,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",2022,2,8
20,Olympic,647,THROWING OBJECT AT MOVING VEHICLE,2020,2,9
09,Van Nuys,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,2020,1,6
08,West LA,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2020,2,15
07,Wilshire,888,TRESPASSING,2022,2,213
